Block Hash: ed0d412c4b1c49a95d7a2d0de777cc96219bcb9a4dc0e67321e58db3136dcc2c
Previous Hash: 59a921259597ce8ca0dc3d6cea34817816808793df9d61fb987f8ae76134f699
Merkle Root: 0abdbd1139850c271099b31270d20e6a46b13150f637680447c732d582dcc2ff
Random Number: 630883497
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- David sends $18 to Emily
- Emily sends $19 to David
- Emily sends $44 to David
- Bob sends $22 to David
- Emily sends $49 to David
- Bob sends $21 to Alice
- Emily sends $42 to Alice
- Alice sends $48 to Charlie
- Charlie sends $15 to Bob
- Alice sends $43 to Charlie
==================================================
