Block Hash: 08e35b9b6d02e502a75dfb4f2edf3281a9fbe83908f2709c1f217df50e108b4e
Previous Hash: 02c486accc4c517438def9ef4ac9a55c68180f21a2bffa1b5d7fcd789091f26c
Merkle Root: 134048a2eb8a3ee534be1367594663993d637bf52b352d23368fee930b6421f5
Random Number: 852129385
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Alice sends $27 to David
- David sends $25 to Bob
- Charlie sends $14 to Bob
- David sends $20 to Alice
- David sends $31 to Emily
- Bob sends $40 to Charlie
- David sends $30 to Emily
- David sends $17 to Alice
- Emily sends $45 to Charlie
- Bob sends $34 to Alice
==================================================
