Block Hash: 97f28d297a46587925d13b405fd4fc565b10a970581cf9086810782c1e40e640
Previous Hash: 7a9b7acf04c83a00b7f13b573b59cb81fe6e6e1f88921fba1930482a8c290964
Merkle Root: 8f611ab2446aeb9702d49b8ec83176e5437b504d86f7c4fd7132d9c9d3982917
Random Number: 11650474
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Emily sends $27 to Charlie
- Alice sends $41 to Bob
- Alice sends $15 to Emily
- David sends $18 to Emily
- Alice sends $43 to Bob
- Charlie sends $21 to Alice
- Bob sends $39 to Emily
- Charlie sends $34 to Bob
- Alice sends $30 to David
- Bob sends $11 to David
==================================================
