Block Hash: 47de742a8947e8518be1e8a558ebff35476241208511599b780cf0a1e0f07a18
Previous Hash: d23ecea17ecac376749f906a7585e0b1d5885e684c4c1bbf980f347418b27a59
Merkle Root: 9e21bd3015633980daf13e3ef195f46c3dd67b426979ec35f3da4250d68e3cd4
Random Number: 145976618
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $18 to Charlie
- David sends $19 to Emily
- David sends $30 to Bob
- Emily sends $19 to Bob
- David sends $28 to Emily
- Alice sends $29 to Bob
- David sends $22 to Emily
- Charlie sends $48 to Bob
- Alice sends $47 to Emily
- Alice sends $17 to Bob
==================================================
