Block Hash: 0d47993e634a1e9fa470bb80dec3ced9587fce8bec0a2cd5c20e177c13bd1281
Previous Hash: fd39d6858d01ea7a3903c4da0c8f8496d09409ebc76f83a9e409e6d5d89dc232
Merkle Root: 9f86afa46c63eea9d67ac4acb03ffa426b129413c7905628eaf0ca9e68da4da3
Random Number: 782273037
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Charlie sends $34 to Emily
- Emily sends $11 to Alice
- David sends $14 to Alice
- Bob sends $29 to David
- David sends $16 to Bob
- Alice sends $45 to Charlie
- Emily sends $39 to David
- Bob sends $45 to Charlie
- Alice sends $49 to David
- Emily sends $13 to David
==================================================
