Block Hash: 03e2838a0b5de46e9087ebe7e2e4a7ed75a81c3ce3068aa39ecd5a94aab32897
Previous Hash: 4fa59634d1bdf3196de5522b624116e048da842cf683251270bb1fcdae836f6e
Merkle Root: 06f3f957a4cc832307a6b15075196e2260170ac9c1cc5b074c4c283eff67ad22
Random Number: 105970698
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Emily sends $14 to Charlie
- Charlie sends $11 to Alice
- David sends $47 to Bob
- Charlie sends $50 to Bob
- Alice sends $19 to Emily
- Bob sends $36 to David
- David sends $15 to Bob
- Charlie sends $32 to Alice
- Charlie sends $18 to Bob
- Charlie sends $15 to Emily
==================================================
