Block Hash: 64414cbbc6069394720c7749e5e6dd6463e00b7c227233b4019abb29a1127c07
Previous Hash: 49b68ecf20b1941efc359b1618183e3d53dde503e3d4d7d52f7cf0d96a0e200c
Merkle Root: f023b838e5c0bf8489281c5182cb0f308e6764bbe020bb96fb900867d4dd564d
Random Number: 78282341
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Bob sends $49 to Charlie
- Alice sends $29 to Emily
- Alice sends $19 to Emily
- Emily sends $47 to Alice
- Emily sends $25 to David
- Emily sends $44 to Bob
- David sends $28 to Alice
- Charlie sends $24 to David
- Alice sends $35 to David
- Alice sends $37 to Bob
==================================================
