Block Hash: e01ea7fcf5c3c5e51abd563227108f1556ba021f1b99e566cc9b8dbd01b708fb
Previous Hash: 301858dadd9a98802cf56f323677331b0819015fab31b2b8907fccffdbcadad0
Merkle Root: a32fe7f4ce01452127ba2cdd4333026b406e4b854a2867b2578ca15079b9f332
Random Number: 45863183
Forward Hash: 0
Timestamp: 2023-11-17 11:12:35
Transactions:
- David sends $36 to Bob
- Charlie sends $12 to Emily
- Emily sends $25 to Charlie
- Emily sends $17 to Charlie
- Bob sends $39 to Alice
- Bob sends $24 to Charlie
- Alice sends $29 to David
- Emily sends $29 to Alice
- Emily sends $27 to David
- Bob sends $21 to Alice
==================================================
