Block Hash: 0d0a1f88c6a93a367bedd35dbce226d55d488c750d6b664ae4f34875f64a214f
Previous Hash: a083826243d7558d899daf05f685295d109f6cee78035e70793db1d1d0c613ae
Merkle Root: ca54ec60940c4ea4103e223ffe1c070ae2dccfff73696adff726337de51caadf
Random Number: 934391669
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Charlie sends $48 to Bob
- David sends $13 to Emily
- Bob sends $29 to David
- Bob sends $36 to Emily
- Alice sends $23 to Charlie
- Emily sends $34 to David
- Emily sends $36 to Alice
- Alice sends $16 to Charlie
- David sends $39 to Emily
- Bob sends $48 to David
==================================================
