Block Hash: d38ee278966e52b72e2f2c74f37ef6769998cd580ade9fa71f2bc5536b29528e
Previous Hash: 990046f90c47982fb8e4e67c613e182bff6def4c6adb36d0f37c9cdab1e84849
Merkle Root: 362b95c20aa7eace5fb10372ed273dd7b29b2436adb366da59b5067842d47682
Random Number: 422564623
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Bob sends $44 to David
- David sends $15 to Bob
- Alice sends $39 to Charlie
- Charlie sends $28 to Alice
- Charlie sends $45 to Emily
- Emily sends $32 to Charlie
- Emily sends $24 to Bob
- Emily sends $33 to Bob
- Emily sends $15 to Alice
- Emily sends $15 to Alice
==================================================
