Block Hash: febd365ac4b480cb87e367f83f4170c5149360e2964e7d83e274f64b9339f818
Previous Hash: fb3ea36f30d1eafae1e22c05ca77b12e03532572fbde8d2aa2e363d991679bf9
Merkle Root: 5cb00565f13652b1c63ab6ab0ad0280130c70b656f06951e0b4d38476237a94d
Random Number: 666926019
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Bob sends $28 to Charlie
- David sends $31 to Alice
- Charlie sends $49 to Bob
- Emily sends $45 to Alice
- Emily sends $39 to Alice
- Charlie sends $27 to Emily
- Charlie sends $15 to David
- Emily sends $22 to David
- Alice sends $27 to Bob
- Charlie sends $17 to David
==================================================
