Block Hash: 0b8e576a18e023312fba1351aecb45c8c72c0ebf0f68183c15859ce60ebb58cc
Previous Hash: b763f3988d659fcaf60ddd4105c99689edbc85908366d983d30662b34cbbdbaf
Merkle Root: 1a497bee785aafd9817ecda2d8290b3ac4f951656db8f6a12df020b721076ba8
Random Number: 250592436
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- David sends $25 to Charlie
- Alice sends $48 to Bob
- Alice sends $35 to Bob
- Charlie sends $50 to Emily
- Charlie sends $45 to David
- Alice sends $48 to David
- Alice sends $17 to David
- Charlie sends $41 to Alice
- Emily sends $22 to David
- Charlie sends $22 to David
==================================================
