Block Hash: b1d81f74f03c0441c2e6889a94ffdb156c48e80896b0731d275846d1bb81810b
Previous Hash: 3901f460ea044f426202a090a836eb5a06bbaa39f882e843be9f6a22bd8bbb21
Merkle Root: fc1b44261371ef795ec0b46e0cdd68434b412d0505ce6ffe1681b41da349507e
Random Number: 8128493
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Charlie sends $45 to Emily
- Alice sends $45 to David
- Emily sends $40 to Charlie
- Emily sends $36 to Alice
- David sends $21 to Charlie
- David sends $18 to Charlie
- Emily sends $42 to David
- Bob sends $25 to Charlie
- Alice sends $46 to David
- Alice sends $35 to Charlie
==================================================
