Block Hash: dfb6b9306d5dfcd5bc81717c3b338c4af0ff96f19c2306ddf762c91f678ee5c6
Previous Hash: 612156de236c641190ee78a5b837426c8c90546c288c32f2d71d4f0f2278d740
Merkle Root: 9bcadb843d399884fd3355aa98513dee97c6425a9acd0d6b85ac505d70883073
Random Number: 748236480
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- David sends $41 to Alice
- Charlie sends $10 to Emily
- Emily sends $37 to Charlie
- Charlie sends $49 to David
- Alice sends $26 to Bob
- Emily sends $30 to Charlie
- Bob sends $14 to David
- Bob sends $18 to Emily
- Emily sends $15 to David
- Alice sends $47 to Charlie
==================================================
