Block Hash: dbabd021f99d288b39e81cd83ee7a9ae48a13d247b5ab61682ef913d40424dbe
Previous Hash: edbdeecbd773b2f033dedea6b1599696a2529345f35fc0bc71b89bc0639021f3
Merkle Root: 8b40c465cf81925a4d19386ba6c38e7e13b13d178b5040db7a0b049e0d30d7a9
Random Number: 181242391
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Emily sends $10 to Bob
- Charlie sends $21 to David
- Bob sends $40 to Alice
- Charlie sends $38 to Alice
- Bob sends $22 to Emily
- Alice sends $16 to Emily
- Charlie sends $21 to David
- Charlie sends $26 to David
- David sends $50 to Charlie
- David sends $46 to Emily
==================================================
