Block Hash: bc0aa33152f62b62ddfe25ce7453f812754a4369dd0efe78878a5f8570bce9c7
Previous Hash: 15de3541aafc7eff282148a57f5252f15f012625c9088dc65f39e9abcaa355e9
Merkle Root: e18eb9589984cfdc4f01c3a292af1b2b889ed8a5fe087b14a540e83d6435fb3e
Random Number: 433656194
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Charlie sends $25 to David
- Bob sends $42 to Alice
- Bob sends $21 to Alice
- Bob sends $14 to Alice
- Bob sends $49 to Alice
- Emily sends $11 to Charlie
- Bob sends $27 to Alice
- Alice sends $46 to Charlie
- Alice sends $11 to Charlie
- Alice sends $28 to Emily
==================================================
