Block Hash: 3bfbc1d6e90f73d26eca1b58019e5b92c69329c7e159d99f531b73fd430734e8
Previous Hash: 66261db1dce436ea3dfdbf2e89bca24e36e75bd1bd11410c5d7f72c85879c384
Merkle Root: 072f0c5cedbc183e581e3785d1d6f2530d5a362a220c84656e02640529995e2d
Random Number: 545391118
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- David sends $46 to Alice
- Emily sends $27 to Bob
- Alice sends $24 to Charlie
- Bob sends $15 to David
- Bob sends $30 to Emily
- Alice sends $41 to Charlie
- Bob sends $39 to Emily
- Alice sends $16 to Emily
- Bob sends $25 to David
- Bob sends $29 to Charlie
==================================================
