Block Hash: 36861ec78020544d5b14d41bd77605126649927d4a032c6afea8cc74121c4fff
Previous Hash: f1c9ad83def96a7450a28da86fab3755208752395b72c2ebb137415516d60316
Merkle Root: 5f846eb6fa68a2ae74d379854b60f94c31fd798008fe1a6ed70332b9746b3c6d
Random Number: 209343670
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- David sends $16 to Charlie
- Charlie sends $34 to David
- Emily sends $44 to David
- Charlie sends $19 to Alice
- Alice sends $30 to David
- Charlie sends $44 to Alice
- Alice sends $44 to Bob
- Emily sends $17 to Bob
- Emily sends $20 to Alice
- Emily sends $10 to Bob
==================================================
