Block Hash: 53faddf7840f5a656cc8c43f817609120d28c50c78de44c51aa0210013de6a67
Previous Hash: 3576a284aff1f7375ece0df431643bca9e0b72608248a53e6cef3d230503a4af
Merkle Root: d821a82dc133df55816004eb15cca201ac3df061f07e9e1d700cedf584c8dd7c
Random Number: 963657970
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Emily sends $38 to David
- Bob sends $27 to Alice
- Bob sends $21 to Alice
- Bob sends $30 to Emily
- Bob sends $33 to Alice
- Charlie sends $35 to Emily
- David sends $28 to Alice
- Charlie sends $46 to Bob
- Alice sends $41 to Emily
- Charlie sends $13 to Alice
==================================================
