Block Hash: 8bbab00db0f2f8924bad32116ac96e7086207dc36031e6bdb7f558736ec88885
Previous Hash: 2acec9acc4f81ef20c352f5b70e98402c430c852083ebb3ad4bdec7a2a921576
Merkle Root: 1e564aade56129fa7c508f431e60a9d3f3b61013ab8788307f703e3856218e99
Random Number: 94850089
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- David sends $31 to Emily
- Alice sends $37 to David
- Emily sends $39 to Bob
- Emily sends $50 to Alice
- Charlie sends $15 to Bob
- Bob sends $19 to Alice
- Emily sends $20 to David
- Emily sends $23 to Bob
- Alice sends $12 to Bob
- Alice sends $20 to David
==================================================
