Block Hash: 3160f1445783428395d45c673dd09ab6bf0ad738f1a569c813c467ddfbc73033
Previous Hash: 56ea8049836e362c1680fa3ca96c1124e75f0338eae516da987ef764499d17af
Merkle Root: 244934297b2c8c75674bedea34484e6f2dc5bda33a52d06bcc2ac9fb46ba6545
Random Number: 510049786
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $37 to Alice
- Charlie sends $23 to Bob
- Bob sends $21 to David
- Alice sends $23 to Charlie
- Alice sends $18 to David
- David sends $49 to Emily
- Bob sends $42 to Charlie
- Charlie sends $48 to Bob
- Alice sends $46 to David
- Bob sends $26 to David
==================================================
