Block Hash: 10d339aa58eb2513ab38f9f52c9d412dae1513809b953675f622f6b7ee6f9fe0
Previous Hash: 2d55291bfc6315a4248850f40da94d14ea698bee092800086fb330a0c61e5072
Merkle Root: 249d48efe6f534c43047db0a30ea15ec6d1c5d200dc0bb9b99e0604c487997f9
Random Number: 810865141
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- Alice sends $42 to David
- David sends $45 to Bob
- Charlie sends $36 to Alice
- Bob sends $30 to Alice
- Emily sends $28 to Alice
- David sends $10 to Charlie
- Charlie sends $46 to Alice
- Bob sends $41 to Emily
- Bob sends $38 to Emily
- David sends $45 to Emily
==================================================
