Block Hash: ba99697345f67cdd27310cd59706743284e074333fef21428c8f945817e96cf9
Previous Hash: e2c045ef057364af9af32e97f6b975342d5b2a2635f9bae2d4acfc37b22110ea
Merkle Root: 334a40b500ef79d6eca9c5a29a826e2fad7361f83fc7126fa8c0a06336b083db
Random Number: 395208890
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Bob sends $42 to David
- David sends $37 to Emily
- Emily sends $26 to Charlie
- Emily sends $23 to Bob
- Alice sends $16 to Charlie
- Alice sends $20 to Charlie
- David sends $25 to Alice
- David sends $42 to Bob
- David sends $40 to Bob
- David sends $21 to Bob
==================================================
