Block Hash: 497e3647d07f1d3c808086b99e94095df8591d0b430fc5e80590cafe38cb71dd
Previous Hash: b2904f62544bbd717f1c75a258773bd2dadae1a292717e23748bfeaef325184e
Merkle Root: f1708d23a608205adb0be432e6370711d3feaaa0c7dbbab4d946df0c6c13c6c2
Random Number: 157146323
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Charlie sends $44 to Bob
- Bob sends $25 to Charlie
- Alice sends $40 to Charlie
- Bob sends $42 to Alice
- Emily sends $14 to Charlie
- Alice sends $35 to Emily
- Bob sends $22 to Emily
- Alice sends $50 to Charlie
- Alice sends $26 to Emily
- Alice sends $12 to David
==================================================
