Block Hash: 0d77685fd91840a20800815aa5bd9e0a03e75e1c3e9882adfa652a100eb04fd5
Previous Hash: 4badd6688696aa141500fd31408c8c67a50c90b72263e128d95255c4d71a7932
Merkle Root: e624f164643d03ddb7023540d344c24eb53aa0edc71a15e37ef451c9542f4673
Random Number: 133710997
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Alice sends $26 to David
- David sends $50 to Emily
- Charlie sends $15 to Alice
- Bob sends $10 to Charlie
- Bob sends $40 to Emily
- Bob sends $27 to Charlie
- David sends $41 to Alice
- Bob sends $13 to Emily
- Charlie sends $13 to Alice
- Emily sends $11 to Bob
==================================================
