Block Hash: 65eddfcdc33d6a7f0d33007810959340876b03673caa0f2a179871745282a130
Previous Hash: 259462cc8e9502486e741a3c161300eab9ef73f33045393c7755c3ca2577eec3
Merkle Root: b1ebc3276b977c43c3b681e2b4558d2b86a8b14ee66397ff7dd0e9fe39d2f6eb
Random Number: 489946391
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- David sends $43 to Bob
- Bob sends $24 to Charlie
- Alice sends $48 to David
- Alice sends $24 to Charlie
- Alice sends $16 to David
- Emily sends $17 to Charlie
- Bob sends $11 to David
- Bob sends $12 to David
- Bob sends $35 to Alice
- Charlie sends $18 to Emily
==================================================
