Block Hash: d093b30bbc0db936c15dac1f8255461cc0dbef4365e18f5e7624a6712f434b01
Previous Hash: a1ef3b87c82e7f65fe9ebcd3634703ccd4d2b35966142df20c39129f502bedcf
Merkle Root: 3867f4d91a37c444a8442f321e84305316a1b291209ff403d7493b955b2acf85
Random Number: 512117082
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Alice sends $26 to Bob
- Emily sends $31 to Charlie
- David sends $36 to Charlie
- Charlie sends $34 to Alice
- Bob sends $34 to David
- David sends $17 to Charlie
- Bob sends $49 to Alice
- Charlie sends $45 to Alice
- Bob sends $48 to David
- Bob sends $44 to Alice
==================================================
