Block Hash: e9b5afa450d5d1a0beaf426fb16ce31365d39c95c2a00cdca9aa509d29a10c61
Previous Hash: 669602357fb30bf971d3b90b9e362a46d7f5c04b627ad371aad783fe548ff5a3
Merkle Root: 0b0c70c4ee6b8595a8dc1d21d56617e37c558796a1829f9ea06348a7a00b59fa
Random Number: 788952454
Forward Hash: 0
Timestamp: 2023-11-17 11:12:35
Transactions:
- Charlie sends $42 to Bob
- Emily sends $14 to David
- Emily sends $35 to David
- David sends $15 to Charlie
- Bob sends $27 to Charlie
- Bob sends $17 to David
- David sends $34 to Charlie
- David sends $45 to Alice
- Emily sends $24 to Charlie
- Alice sends $44 to David
==================================================
