Block Hash: 706227d97b1e839f39e8a909b2ef2cc5340d3b3fceae5b9efefc6bcba1f2eb53
Previous Hash: 4d6b8e50a4ec0c97d0297a4e3cd8bae74b76f18c784c0dddac835dc92677ac77
Merkle Root: 366f290e9bec5026e0ce77d875cbf49c113d0eb23b54f90f494a5ffbc7f97f4d
Random Number: 463212424
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Bob sends $11 to Emily
- Emily sends $30 to Charlie
- David sends $15 to Bob
- David sends $14 to Bob
- David sends $14 to Alice
- David sends $11 to Charlie
- Emily sends $19 to Bob
- Alice sends $49 to Bob
- Emily sends $28 to David
- Charlie sends $21 to David
==================================================
