Block Hash: 493087aa6d95d1690a853f8acf60c12d33bab3c93b9ddac990d0642558b1dfef
Previous Hash: 66ede417dd96e6e723219fbbf210242c1099bd205a6ffdc7ba975c96caa970cd
Merkle Root: 032c84575600c39513d230b4b55bb010e5f1119aba1d31897c1feff38dae24a2
Random Number: 148443530
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Charlie sends $16 to Emily
- Alice sends $24 to Bob
- Alice sends $45 to David
- Alice sends $49 to Bob
- Emily sends $39 to Bob
- Emily sends $47 to Bob
- Bob sends $38 to Alice
- Alice sends $14 to David
- Bob sends $27 to Alice
- Bob sends $39 to Charlie
==================================================
