Block Hash: 474e790931d6fa149dfc053ae2821c35bd78a18c1b5666031c2052366c0ddd9e
Previous Hash: bf68ff2288b09358f7f9d552dca09e15e5bb68423ae970ca45254964a7616192
Merkle Root: 4325c12d5ccc46797c4621742040765a6b92333776eb6c284715df7ddf44bde8
Random Number: 843473209
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- David sends $34 to Charlie
- Emily sends $32 to Bob
- Alice sends $14 to Bob
- Charlie sends $44 to Bob
- Emily sends $42 to Bob
- Emily sends $26 to David
- Bob sends $50 to David
- Charlie sends $23 to David
- Bob sends $22 to David
- Emily sends $10 to Bob
==================================================
