Block Hash: 058955d3c10597e56a4c1661928c7b1d9a359bacfa0c7e715a17c14f46cd8745
Previous Hash: 84eedcf1f1d34cb55220b009b09d6da8e32b55f9262e476c71dddefd37690bed
Merkle Root: e6b3af9f1604deac501b48b7984d6519824f03f56d91756519e63e5cdd094a9b
Random Number: 981651049
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $44 to David
- Charlie sends $45 to Emily
- Alice sends $45 to Bob
- Charlie sends $46 to Emily
- Alice sends $16 to Emily
- Bob sends $35 to Alice
- Alice sends $21 to Bob
- David sends $21 to Charlie
- Bob sends $26 to Alice
- Alice sends $11 to Charlie
==================================================
