Block Hash: 640dbd05454459c9773e1829d01812ef8666e4b3010996b936b6adbfb62bd2dc
Previous Hash: 58188c0fd99c67e0022648fa0c22b513570a9aaa009146bbedfc4ce23ac5569c
Merkle Root: 2a3e91705cc3cabeef9174b2952d04238cdf44089f3d4859bc3bb6bcc9c535d9
Random Number: 265258643
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Emily sends $45 to Alice
- Alice sends $37 to Bob
- David sends $44 to Bob
- Alice sends $50 to David
- Charlie sends $22 to Emily
- Bob sends $22 to David
- Alice sends $46 to Charlie
- Alice sends $33 to Charlie
- Bob sends $22 to Charlie
- Charlie sends $17 to Bob
==================================================
