Block Hash: da0f292eb17adf4f1c3edfebee1e2f9f327a1e942d2ea951084dded270dc8880
Previous Hash: 2405378ed2bc90529873f696aaab6a571b8330d561e89bfd1351023e6aef884b
Merkle Root: 39811886c4d4e2e365875f4cd2fdbabeb8895cc7ca8e3fac03fa4635cd9797d7
Random Number: 337875524
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Charlie sends $40 to Bob
- Alice sends $33 to David
- Emily sends $33 to Charlie
- Bob sends $21 to Alice
- Alice sends $41 to Emily
- Alice sends $32 to David
- Bob sends $20 to Charlie
- Alice sends $35 to Charlie
- Bob sends $45 to David
- David sends $41 to Alice
==================================================
