Block Hash: 474aa0e19cdd36b77cefb82c4bd0718b3bf530b771157a99fabe0fbfb16a695b
Previous Hash: 522dfa1a4332f55887352761e90b357215af0140969b968f7cf7ec6bd9b831e7
Merkle Root: d0757fe07320af1ac8fea3b9c768375ba5d95c3f951218b0bd30b3ab1deb6eb6
Random Number: 759866287
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Bob sends $43 to Charlie
- David sends $37 to Emily
- Charlie sends $18 to Emily
- David sends $11 to Emily
- Emily sends $23 to David
- Charlie sends $22 to Alice
- Charlie sends $36 to David
- Emily sends $21 to Alice
- Alice sends $40 to Bob
- Emily sends $42 to Bob
==================================================
