Block Hash: 2f5e77de6f2458bab4bb17297af949d11b9c7aac211cc1888d1ce3d27fbe7b31
Previous Hash: 4303b178e6ce7032290c31be07c6a098679f166cc3061159ff0a0ae93ce2ed2a
Merkle Root: 07efbf1e274c2ecba0cce9137aa148d9021bee8cc64fe966c59fa51bd31b6c69
Random Number: 490492216
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Alice sends $37 to David
- Charlie sends $43 to Bob
- David sends $27 to Bob
- David sends $33 to Emily
- Charlie sends $18 to Bob
- Charlie sends $42 to Emily
- Charlie sends $20 to Bob
- Emily sends $39 to Alice
- Emily sends $40 to Alice
- David sends $25 to Charlie
==================================================
