Block Hash: b3a78bed6686c6b98b7c455bf187823da8140af61f4966092d9497bb6b4a0925
Previous Hash: 1f7046a1fa02f148180cedced312e56aac73f3c1603215267c00cbc979d7cd9e
Merkle Root: b869fc2f7532678a160a1b3edbbac55a9b447319d44a8bb24584ac0dd74d2897
Random Number: 557299253
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- David sends $30 to Alice
- Alice sends $39 to Charlie
- Alice sends $20 to Bob
- Bob sends $23 to Emily
- Charlie sends $35 to Emily
- Emily sends $45 to David
- Emily sends $32 to David
- Emily sends $39 to David
- Emily sends $33 to David
- Bob sends $13 to Emily
==================================================
