Block Hash: b56b6e833029923871aec81eff78aed13f02be15d0f2a8a33218df54df52cccb
Previous Hash: 09b456be29211216c0dfbbd7837292a6339165ca1c16fab0f88a43fcd298a523
Merkle Root: 4b841394365cb642a93cfea1dc8e9a3ad69f885ecf2c3a612042d184cf67d8b3
Random Number: 368460750
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- David sends $11 to Emily
- Charlie sends $16 to David
- Charlie sends $49 to David
- Emily sends $43 to Charlie
- Charlie sends $47 to Bob
- Charlie sends $39 to David
- Bob sends $42 to David
- Alice sends $16 to Bob
- Charlie sends $43 to Alice
- Emily sends $27 to Bob
==================================================
