Block Hash: 99b3346eed6f86d8abb019b8d6f3d6b041f37d823f0721237e368732b59ecb67
Previous Hash: 5d1af6a53a857ba43e37b1475be86b4c30bd6a194e18b315874feb66203c0bc7
Merkle Root: 0e43c270acd9e665f7a1a5e7c6ebcf61fa8c7b3d4bd38c162108d05f4b2ea729
Random Number: 234768414
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Charlie sends $11 to David
- David sends $29 to Alice
- Bob sends $24 to Emily
- Emily sends $13 to Charlie
- Bob sends $45 to Emily
- Bob sends $12 to Charlie
- Emily sends $48 to Bob
- Alice sends $17 to Emily
- David sends $38 to Charlie
- Bob sends $42 to Emily
==================================================
