Block Hash: f480d3ebba368f88e3d9d35c008ac0d672a2b7184d0051c2e2f76e62e1d206b7
Previous Hash: ec5c1ba5c16dc16e3ef269672f2a6e748e4e4cfc4b4ba624a3bbea50c24f7512
Merkle Root: aed75da281ad8bea28913ab6d59a38b53187a06b1f10c86cdbd131510ba7536f
Random Number: 380593048
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- David sends $38 to Bob
- Alice sends $37 to Charlie
- Emily sends $27 to David
- Bob sends $31 to Emily
- Bob sends $44 to Charlie
- Bob sends $48 to Emily
- Alice sends $21 to David
- Charlie sends $24 to Alice
- Bob sends $12 to Alice
- Alice sends $35 to David
==================================================
