Block Hash: b40d95b334b8843f121b2374fc5ab847fc34c3711d78a1c677c3041b837aed81
Previous Hash: 456a60b7095ad157876b15c9060b350947b2238fee2be6bae355897f15b75a05
Merkle Root: 43a7f4fa7063357dc13f5976d87cd4aac795f20942a0ed989fb4de8b2cb1e9b2
Random Number: 475771570
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Alice sends $47 to Bob
- Charlie sends $34 to David
- David sends $11 to Alice
- David sends $27 to Charlie
- David sends $36 to Alice
- Charlie sends $42 to Emily
- Bob sends $49 to Emily
- Bob sends $44 to Emily
- Bob sends $14 to Alice
- David sends $32 to Emily
==================================================
