Block Hash: 8a6c2e8b21f40945891b59b2b895f9f659b1f8b273d6ddc9b26b58ce843def59
Previous Hash: ca7c7fe36e6f527d62366e54129b6d6e24247d91816e94c83ff02acdf49735f5
Merkle Root: af521065d924eb73026001ce360b25282dfa260ab3906d22c4696ea93b9ed042
Random Number: 24016727
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Emily sends $50 to Alice
- David sends $35 to Charlie
- Alice sends $25 to Emily
- Alice sends $50 to Charlie
- Bob sends $37 to Emily
- Charlie sends $44 to Bob
- David sends $43 to Emily
- Alice sends $38 to David
- Alice sends $42 to David
- Bob sends $47 to David
==================================================
