Block Hash: 0cfc6ae141cb03054fabd2b824f6c722ce52add6ce4fe67da93f832f5fb06511
Previous Hash: 9be40738fc7a4fd8a6fde549cb51e219eca00d70e8a78f26c3e503445f315f41
Merkle Root: ade82434516065e2413d77ff921af4c17f07b471b5cfe78c08512dae77626882
Random Number: 784470143
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Alice sends $35 to David
- Emily sends $11 to Bob
- Bob sends $15 to Emily
- Bob sends $34 to Emily
- David sends $16 to Charlie
- David sends $27 to Bob
- David sends $24 to Alice
- Bob sends $27 to Emily
- Charlie sends $24 to Alice
- David sends $38 to Bob
==================================================
