Block Hash: 97f0cafb942e395c4b7a13e5bdade8da3e53d419ba6d329a61ad58512154a776
Previous Hash: 759372b6eadfd885a0c49abb3aec37018d9542391e1f629b95fc12a0dc64d33d
Merkle Root: 85f96f0fe894083f00fbec540e171b3b0ba7860333407c67b8b2b970aa7d50b2
Random Number: 410716719
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $25 to Charlie
- Charlie sends $37 to Bob
- Alice sends $42 to Bob
- Emily sends $30 to Alice
- Charlie sends $37 to Alice
- Emily sends $17 to David
- David sends $11 to Bob
- David sends $41 to Bob
- David sends $45 to Alice
- Charlie sends $30 to David
==================================================
