Block Hash: a3f4d327955105e985c0464f864754bbbadfde25bc1ca3a5c6abd2562b0e4c73
Previous Hash: f21a8b342f360eeca7c59e66ab136844947dd4ad064c78e4b741f71b0e144cee
Merkle Root: dc0738f42278cc9c5daa401fa8ff88138763c9a1c648f7459312548d26e1a1db
Random Number: 686636791
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Alice sends $12 to David
- David sends $16 to Emily
- Emily sends $28 to Charlie
- David sends $37 to Alice
- David sends $42 to Alice
- Bob sends $50 to Emily
- David sends $26 to Emily
- Bob sends $40 to Emily
- Bob sends $28 to Charlie
- Bob sends $25 to Charlie
==================================================
