Block Hash: 64f5989601b57c97d099cd1933072ad317b39e3219678d2059fae5aad0f1cbe0
Previous Hash: 6fc68c09bb7db9bae88ed16f91695b6ab40b827af2a971c0f259fa7f50a28702
Merkle Root: d693bc01ec8fea853f3a25d67fc089824e44812a75f4a8e209dbdd9a02443a77
Random Number: 542948407
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- David sends $16 to Charlie
- Alice sends $21 to Emily
- Alice sends $45 to Emily
- Bob sends $29 to David
- Emily sends $39 to David
- Charlie sends $39 to Alice
- Alice sends $13 to Emily
- Bob sends $14 to David
- Bob sends $32 to David
- Charlie sends $48 to Emily
==================================================
