Block Hash: 6bfa56a100056ec91a6caefc306f0a971b10c16323de5e7076d20621884b3a53
Previous Hash: e80057861ab73a2579d05de0bdce178967503a130ad0f3425376b3110107e166
Merkle Root: 77165c71276b7edd1cda0b0a2f6043e6543b3f7f72b5fecf3412409d22ecfc81
Random Number: 231697717
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Charlie sends $39 to Bob
- Alice sends $34 to Emily
- Bob sends $32 to David
- Bob sends $23 to Charlie
- Alice sends $18 to Emily
- David sends $48 to Alice
- Alice sends $10 to Charlie
- Bob sends $47 to Charlie
- Bob sends $38 to Alice
- Alice sends $13 to Emily
==================================================
