Block Hash: 9ba34e08d4673f39b84070d4b90894f0a891a383f9002ce0ccb539e5c0dc6395
Previous Hash: 502760cda5350efa292b57d9297d4e9157864efa5bbf6c4b641ee37d5f68f5d7
Merkle Root: b4646ba69aa79487dc10e0c87d782150fe77f418d2ffd9806ca52975ab5e02fa
Random Number: 485312316
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- Emily sends $42 to Charlie
- Charlie sends $43 to Alice
- Bob sends $39 to Emily
- Alice sends $11 to Bob
- Alice sends $45 to Emily
- Alice sends $41 to Emily
- David sends $43 to Alice
- Bob sends $49 to David
- Charlie sends $28 to Alice
- Charlie sends $34 to Emily
==================================================
