Block Hash: fdfb90444a0dd5ace4d3517c8c6a44ad4f06e19dbfd3b4c49d9bc18348a14555
Previous Hash: db11dd2cc760a4197f37c78003bad599e154d3fb063764a06cf6840f2d6724dd
Merkle Root: 6028de9817d9535d16103c05a9077c8e72cfe12ae375d25f98d8715cae7eeb20
Random Number: 686694071
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Emily sends $33 to David
- David sends $32 to Alice
- Charlie sends $36 to Bob
- David sends $43 to Emily
- David sends $45 to Emily
- David sends $21 to Emily
- Alice sends $47 to Bob
- Alice sends $48 to Bob
- Charlie sends $16 to Alice
- Bob sends $13 to Alice
==================================================
