Block Hash: aa0ef3020df686c96d2fcf21368e9e908ac02c7b9c16c43bdb53097f93af4b02
Previous Hash: 19a87a20459dcb3565d67af44cdc326dda35b466a51bc6cb157de152f97ab415
Merkle Root: 3ad31eb65189156ded8e51affbefb314a209e8cc09e83e73ba874fa09cc1ee82
Random Number: 281376369
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Emily sends $30 to Bob
- Charlie sends $29 to Alice
- David sends $35 to Emily
- Charlie sends $22 to Emily
- Bob sends $24 to Emily
- David sends $35 to Alice
- Bob sends $15 to Charlie
- Bob sends $20 to David
- Alice sends $28 to Emily
- Bob sends $16 to Charlie
==================================================
