Block Hash: 28657f9421e9bb4424e524528b3a596952c640cd414bc7f137b3dd3d872870df
Previous Hash: 91fb3191800fed4cfa3bd9149ac3bb78c054347615b80677e66f9cde7e5d3380
Merkle Root: 06ed3e5825fc7f93cbe1c059276a1f4e7882316a04cb8eb457616b40777e0103
Random Number: 443840524
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Emily sends $21 to David
- Alice sends $44 to Emily
- Bob sends $46 to Charlie
- Bob sends $30 to Alice
- Alice sends $22 to Bob
- David sends $39 to Alice
- Bob sends $15 to Alice
- Charlie sends $21 to Bob
- Bob sends $17 to Emily
- Charlie sends $44 to Emily
==================================================
