Block Hash: f79ca9e55edaa54730533b0d58a743e590eb8bd24ac21310267e059898317c81
Previous Hash: 4e9d95717612a92f926ac97873260ddf5f58afcf34884819126baecb8d31d368
Merkle Root: 313f0b6435478c6d30a23a8a029d0d522d7a019dd5914132128f720c1e2dc435
Random Number: 53282034
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $27 to Charlie
- David sends $32 to Emily
- Alice sends $31 to Bob
- Alice sends $30 to Emily
- Bob sends $34 to Emily
- Charlie sends $11 to Alice
- David sends $28 to Alice
- Charlie sends $28 to Alice
- Bob sends $20 to Emily
- Charlie sends $27 to Bob
==================================================
