Block Hash: 945d04c87e977fadca2c54992c13a2d6c7660908a07f216a3c14ce8478a73b2b
Previous Hash: 26731e0a4fcbe3719de6f689986a2577bce8939551687090b51a47df1507730a
Merkle Root: 994226551d94f006ed8928df9a48e0bd044e82250f00cd2e63a693f4ea05ae2a
Random Number: 722936846
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Bob sends $21 to Alice
- Charlie sends $34 to Bob
- Emily sends $22 to David
- Charlie sends $34 to Emily
- Charlie sends $36 to Emily
- Emily sends $12 to Bob
- Emily sends $24 to Bob
- Charlie sends $43 to David
- Emily sends $18 to David
- Alice sends $49 to Bob
==================================================
