Block Hash: 69a3cda43c617b4ac7bec9f342a845b63375fa219ba0439a4e08c8f5aacc50a4
Previous Hash: 935f13baab028219043f4579a48840ce739ead5649e6887d4d349d82a59627b6
Merkle Root: 71ace55ea830a74b36456898b16fd7fa87d6b2a0c5ca838382564c4b68dd6660
Random Number: 379130345
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Charlie sends $37 to Alice
- Bob sends $22 to Charlie
- Emily sends $28 to David
- David sends $37 to Emily
- Alice sends $36 to Bob
- Alice sends $10 to Charlie
- Emily sends $35 to Bob
- Alice sends $32 to David
- Alice sends $36 to David
- Alice sends $32 to David
==================================================
