Block Hash: dd9d9ef46b48af0a9193af09b2c464007c19ae75c1fa57cfe7ddadfc6eb11559
Previous Hash: 69263b27b013217862a464659ac3227540ddda77b984a12b75adb1bdb93a5050
Merkle Root: a1c2ec677cd4196706173044ea1fc043a25c8c5044c18a4135021ed87c5c8e4a
Random Number: 523922414
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- David sends $40 to Emily
- Emily sends $30 to Bob
- Emily sends $27 to David
- Bob sends $49 to Alice
- Bob sends $10 to David
- Alice sends $35 to Bob
- Emily sends $35 to David
- Bob sends $30 to Charlie
- Emily sends $30 to Alice
- Charlie sends $31 to Bob
==================================================
