Block Hash: ca9fec6bc4e6e3bcd054432caff080521202fa12c1620e3e08c03b86f505c27d
Previous Hash: 4155873d07b3ae13025d85058ec86a196d0e4bba966daeda0678ff0cb6d3b835
Merkle Root: 4d5a5dd0a97384f5ebea5872bb513002ee9ad87a378025a21f7583895a42616a
Random Number: 46186204
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Emily sends $34 to Charlie
- Bob sends $19 to David
- Charlie sends $25 to Bob
- Bob sends $23 to David
- Bob sends $44 to David
- Alice sends $37 to Bob
- Alice sends $43 to Emily
- Bob sends $37 to David
- David sends $42 to Bob
- Charlie sends $20 to Alice
==================================================
