Block Hash: 02443d55b7fe40ed8193f8422f0312343a8285962e68e5f05ca36b536bcf356b
Previous Hash: 93c4e31ffb4e9bb0b0a80ae9d48b91f2cf90fbb3d1ffae1b96c3fa2bfad84eeb
Merkle Root: d2e24ab8583c4c4eeb840c99f45afeeb937e7e9f4d55c5988abf42416c506338
Random Number: 201055603
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $26 to Alice
- Charlie sends $29 to Bob
- Charlie sends $37 to Emily
- Bob sends $19 to David
- Emily sends $33 to Bob
- Alice sends $13 to Charlie
- Emily sends $42 to David
- Charlie sends $28 to David
- Alice sends $14 to Emily
- Alice sends $24 to Bob
==================================================
