Block Hash: 608b24138f5de66938236bab7b1afd6eccde3a01f053caa3f0154f3ba8b66208
Previous Hash: 5025f580e66775b1d988523c7c1b46196e8ec6e5f3a5adebc04ebb6ea57916f8
Merkle Root: 779115fe78d2048382818412d60ae591c02156fb6ff11b51455f831398f1c704
Random Number: 221822713
Forward Hash: 0
Timestamp: 2023-11-17 11:12:35
Transactions:
- Alice sends $36 to Bob
- Charlie sends $26 to Alice
- Bob sends $44 to Emily
- David sends $47 to Emily
- Charlie sends $13 to David
- Emily sends $47 to David
- David sends $12 to Charlie
- David sends $43 to Alice
- Charlie sends $45 to Emily
- Emily sends $48 to David
==================================================
