Block Hash: a70a357e1d5cecc710e0e8c43cf44417ece305758cacbede23c09ccc74af93e9
Previous Hash: 01e2375f407dfdc749cf7f3a50ef46376b786d2b870f8a4ed34df34765446b0f
Merkle Root: c285e371bb65ca93d991973dec81cbbdb4267f711fcd20231276fd5b97fdc22c
Random Number: 141242100
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Charlie sends $30 to David
- David sends $15 to Alice
- Emily sends $20 to Bob
- Emily sends $14 to Charlie
- Bob sends $37 to Emily
- Alice sends $12 to Charlie
- Emily sends $32 to Charlie
- Alice sends $33 to Emily
- David sends $10 to Charlie
- Alice sends $11 to Emily
==================================================
