Block Hash: ebf52a9f7bc89bf724307e9a932a60b3eca6d7ec3feb3685ed1adab7a8807431
Previous Hash: f577a46bbb8e549ed337b81b3d1de991e8b6df16571cd7188aa093dd8e44c31d
Merkle Root: 9d7a881ba15605577cb545f6d2c42cbe11f4ee2dab8e5fa37509bbaf09366b71
Random Number: 35465684
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- Charlie sends $21 to Alice
- Emily sends $39 to David
- Alice sends $27 to Charlie
- Alice sends $24 to Charlie
- Emily sends $20 to Bob
- Bob sends $49 to Charlie
- Bob sends $24 to Charlie
- Alice sends $24 to Bob
- Emily sends $29 to Bob
- David sends $49 to Bob
==================================================
