Block Hash: 8a2452806742201db916d30d8542228bc435635abd72c9da2b81089be9d6d615
Previous Hash: 76617750de1d0496070548adba29a3ed71c69665e8ea0b1279024057972152db
Merkle Root: 872ba6cce260536fe30a40a01123a577f1822cc8abdec75d11df242bafd10e0e
Random Number: 977646256
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Alice sends $25 to Charlie
- Emily sends $19 to David
- Bob sends $45 to David
- Emily sends $15 to David
- Emily sends $26 to David
- Charlie sends $42 to Emily
- Emily sends $38 to David
- David sends $12 to Alice
- Charlie sends $35 to Bob
- Bob sends $15 to Emily
==================================================
