Block Hash: 48f6eebead503f52c4125ce4d01d4e7331fae222a2ddcc8ca819efacccf1fb67
Previous Hash: 447740986e28b5e8fe96b184cbd14cec9a88ee68a08143b5259dd95553aa6091
Merkle Root: 942d4b2eba4c5793e8a0569a6b9cda7bafabf5e3972cf058338c61a8fe60c14f
Random Number: 645864301
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Bob sends $48 to Alice
- Alice sends $31 to Emily
- Charlie sends $24 to Emily
- David sends $25 to Bob
- Emily sends $34 to Bob
- Emily sends $24 to Bob
- David sends $30 to Emily
- Charlie sends $19 to Bob
- David sends $22 to Bob
- David sends $22 to Emily
==================================================
