Block Hash: 9f8145179eb845811c90d51f69e5336a2772fffe5b050c97dca4455cde5ff8e8
Previous Hash: 60f7b393b427cb3f7a6276360a4bddc01b2d41ffb7c5f00381583a8c25404e9b
Merkle Root: 9623446422c4d829e717d61941b53628f42630e00b79c747747d413fe0e7c800
Random Number: 338381614
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Emily sends $42 to Charlie
- Charlie sends $36 to Alice
- Charlie sends $49 to Bob
- David sends $18 to Bob
- Charlie sends $16 to Emily
- Alice sends $23 to Emily
- David sends $10 to Alice
- David sends $21 to Alice
- Charlie sends $14 to Bob
- Bob sends $21 to David
==================================================
