Block Hash: d9fa71472fd7253f4d126c28b7ffb061d253b4719c7b27f01a6f1faf1d371ea3
Previous Hash: 8ee0b51fbe98fe899665fd3ad0de9752a4d7536b1df8d6b204804bcadf93b402
Merkle Root: c4268955d1334cdf5ddeaf9fa61df7937c8b431875d16312730f62cdd9468962
Random Number: 839926603
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- David sends $17 to Bob
- Charlie sends $46 to Alice
- Alice sends $37 to David
- Charlie sends $28 to David
- Charlie sends $12 to Emily
- Charlie sends $27 to Alice
- Alice sends $39 to David
- Alice sends $15 to Emily
- Charlie sends $50 to David
- Bob sends $48 to Alice
==================================================
